FrameID	CellID	Guess_Center_x	Guess_Center_y	Guess_Eccentric_x	Guess_Eccentric_y	Guess_Width	Guess_Area	Center_x	Center_y	Eccentric_x	Eccentric_y	Width	Area	EdgeDistance_Radius	EdgeDistance_Error	Density_In_Ellipse	Contour_pixels	Ramanujan	Red_Intensity_LogFold_Error	Red_Green_Correlation	Cell_type	MassCenter_x	MassCenter_y	MassCenter_center_dist	budneck_x	budneck_y	budneck_center_dist	Rel_Cell_major	Rel_Cell_area	Rel_Cell_dist	Rel_EdgeDistance_Error	Rel_Density_In_Ellipse	Rel_contour_pixels	Ramanujan	Rel_Red_Intensity_LogFold_Error	Cell_prob_log_factor	Cell_error	Cell_prob	Relation_prob_log_factor	Relation_error	Relation_prob	Rel_Cell_ID	Red_MEAN	Red_STDV	Red_SKEW	Red_KURT	Green_MEAN	Green_STDV	Green_SKEW	Green_KURT	G_SELF_DST_MEAN	G_SELF_DST_STDV	G_SELF_DST_SKEW	G_SELF_DST_KURT	G_MASC_DST_MEAN	G_MASC_DST_STDV	G_MASC_DST_SKEW	G_MASC_DST_KURT	G_EDGE_DST_MEAN	G_EDGE_DST_STDV	G_EDGE_DST_SKEW	G_EDGE_DST_KURT	G_CENT_DST_MEAN	G_CENT_DST_STDV	G_CENT_DST_SKEW	G_CENT_DST_KURT	G_BUDN_DST_MEAN	G_BUDN_DST_STDV	G_BUDN_DST_SKEW	G_BUDN_DST_KURT	Intensity_MEAN	Intensity_STDV	Intensity_SKEW	Intensity_KURT	N_SELF_DST_MEAN	N_SELF_DST_STDV	N_SELF_DST_SKEW	N_SELF_DST_KURT	N_MASC_DST_MEAN	N_MASC_DST_STDV	N_MASC_DST_SKEW	N_MASC_DST_KURT	N_EDGE_DST_MEAN	N_EDGE_DST_STDV	N_EDGE_DST_SKEW	N_EDGE_DST_KURT	N_CENT_DST_MEAN	N_CENT_DST_STDV	N_CENT_DST_SKEW	N_CENT_DST_KURT	N_BUDN_DST_MEAN	N_BUDN_DST_STDV	N_BUDN_DST_SKEW	N_BUDN_DST_KURT	NR_SELF_DST_MEAN	NR_SELF_DST_STDV	NR_SELF_DST_SKEW	NR_SELF_DST_KURT	NR_MASC_DST_MEAN	NR_MASC_DST_STDV	NR_MASC_DST_SKEW	NR_MASC_DST_KURT
0	1	127.983434	4.573002	9.568347	-0.263160	33.158260	705.062669	127.602292	7.880630	15.424378	0.487120	37.133943	572.312510	16.793806	0.040749	0.950379	93	1.004102	0.350305	0.694977	m	125.366629	6.073418	2.874753	108.272727	1.590909	20.327141	38.485654	320.340624	13.858238	0.088840	0.945591	82	0.975570	0.153776	-6.681376	-5.606983	0.303886	-6.411066	-6.343847	0.214938	2	31.041283	15.356375	0.016905	1.658712	39.868607	34.792673	1.285312	3.313977	10.052717	5.731730	0.785652	3.406220	7.098454	4.076473	0.798726	3.121484	9.929637	4.370277	-0.231518	2.182400	7.758168	3.882781	0.499161	2.850977	18.195389	6.951642	0.410704	2.960517	28.086363	24.510504	1.285312	3.313977	-0.029230	-0.002456	-0.026409	-0.134744	-0.166862	0.004291	0.439872	0.585377	0.099813	0.045410	-0.318289	-0.016510	-0.059300	-0.006018	0.140757	0.247714	-0.119275	-0.096079	0.575342	0.645061	-0.116039	-0.045081	0.190851	0.425366	-inf	nan	nan	nan
0	2	88.687133	-6.987523	-11.794794	-0.774663	40.946395	1075.166166	89.064673	4.033907	18.408745	0.029756	38.485654	320.340624	13.858238	0.088840	0.945591	82	0.975570	0.153776	0.470847	b	88.825223	3.635359	0.464948	108.272727	1.590909	19.362789	37.133943	572.312510	16.793806	0.040749	0.950379	93	1.004102	0.350305	-6.411066	-6.343847	0.214938	-6.681376	-5.606983	0.303886	1	21.976526	10.816327	0.314999	1.865877	14.762874	4.276943	0.371020	2.753257	11.829583	7.248928	0.734753	2.924835	8.650760	4.634506	0.357285	2.134237	5.417068	2.962418	0.215457	1.881591	8.660648	4.639375	0.366341	2.135390	19.826688	9.263762	-0.059577	2.080562	12.658638	3.667326	0.371020	2.753257	0.049227	0.044800	-0.068266	-0.164815	0.114261	0.071737	-0.154798	-0.305877	-0.135604	0.073148	0.331134	-0.155868	0.112272	0.070449	-0.153380	-0.322633	0.014789	0.101756	-0.125970	-0.118490	0.108653	0.098680	-0.058469	-0.203029	-inf	nan	nan	nan
0	3	347.292625	0.018332	9.014069	0.072280	31.226654	625.309688	347.239984	5.555217	15.184929	0.039754	33.828981	376.177090	14.063626	0.053917	0.950108	79	0.994201	0.328183	0.681952	l	347.088919	4.204702	1.358938	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.000000	-6.434837	-5.331999	0.423765	0.000000	0.000000	0.000000	-1	27.094264	13.283150	0.106022	1.736911	24.128852	15.215082	2.177212	8.728144	10.105513	5.670193	0.695733	3.181052	7.280820	3.765360	0.445982	2.340463	7.464692	3.802887	-0.064541	1.804251	7.456952	3.664159	0.498948	2.556728	nan	nan	nan	nan	17.378344	10.958372	2.177212	8.728144	-0.026727	-0.001139	0.033511	0.142548	-0.035179	0.057664	0.144136	-0.034403	0.048269	0.142100	-0.119871	-0.319721	-0.024072	0.022026	0.162287	0.125444	nan	nan	nan	nan	-0.015326	-0.016934	0.071122	0.311023	-inf	nan	nan	nan
0	4	425.446753	34.949409	8.878346	-0.714605	47.802229	1665.400169	425.361155	34.544398	1.927443	-3.673566	48.667666	1801.630698	24.137746	0.003742	0.982878	151	0.994881	0.081107	0.598203	m	420.141833	33.141707	5.404523	403.568750	42.143750	23.079408	41.423291	1244.661480	20.468656	0.001481	0.992875	120	0.955151	0.353598	-7.114711	-0.953585	0.967428	-6.995481	-1.012224	0.969285	5	32.132331	13.219639	-0.222273	1.997267	45.853778	51.600914	2.451417	8.311048	16.607948	9.383929	0.519545	2.543834	11.775020	6.583638	0.597943	2.694921	10.640289	5.127592	0.025652	2.190718	13.497450	5.385634	0.034018	2.393102	21.084638	9.654013	0.680872	2.828068	42.281520	47.580922	2.451417	8.311048	-0.056798	-0.000999	0.013407	-0.066375	-0.209717	0.041622	0.451407	0.226375	0.084623	-0.008088	-0.213773	-0.022679	-0.052558	-0.031309	0.199711	-0.003882	-0.164956	-0.080196	0.692806	0.576930	-0.156663	0.007281	0.260814	0.110030	-inf	nan	nan	nan
0	5	386.151678	49.255116	-6.711533	4.264555	39.811697	1141.196184	385.849762	49.053854	5.798226	-4.916603	41.423291	1244.661480	20.468656	0.001481	0.992875	120	0.955151	0.353598	0.629537	b	386.529577	50.971625	2.034698	403.568750	42.143750	19.018730	48.667666	1801.630698	24.137746	0.003742	0.982878	151	0.994881	0.081107	-6.995481	-1.012224	0.969285	-7.114711	-0.953585	0.967428	4	39.793092	19.588384	-0.147688	1.659726	51.232288	61.410598	2.277661	7.253383	12.731530	7.061745	0.574914	2.814047	8.905553	5.169455	0.577517	2.374218	11.032694	4.757415	-0.334983	2.209015	9.301445	4.863049	0.383430	2.300682	20.703510	6.760084	0.067731	3.144694	35.973119	43.119893	2.277661	7.253383	-0.139890	0.014879	0.227111	0.127211	-0.247861	0.082942	0.664453	0.121823	0.185596	0.078185	-0.526482	-0.049850	-0.187107	0.076434	0.533061	-0.007066	-0.008605	-0.210878	0.120015	0.961460	-0.189522	-0.044319	0.300010	0.350664	-inf	nan	nan	nan
0	6	465.105600	18.768543	-0.880886	11.689616	40.608827	1057.511629	460.843185	17.431003	12.088477	8.262723	49.543288	1474.525597	23.496769	0.024201	0.948278	149	1.056761	0.391391	0.664912	a	458.444862	11.392736	6.497124	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.000000	-6.573048	-7.937447	0.045174	0.000000	0.000000	0.000000	-1	42.633400	18.635083	-0.236867	2.238845	47.691371	58.553467	2.481556	8.158400	15.568966	9.054760	0.503294	2.486150	11.151168	6.156812	0.663714	2.848321	12.428865	5.260037	-0.577385	2.253350	13.493540	4.729215	0.050144	3.063632	nan	nan	nan	nan	32.244871	39.588901	2.481556	8.158400	-0.080288	0.053520	0.088296	-0.179631	-0.200198	0.046561	0.546486	0.403699	0.194607	0.036959	-0.630240	0.246862	-0.008443	-0.056545	0.021740	0.127568	nan	nan	nan	nan	-0.155094	0.028823	0.249560	0.012497	-inf	nan	nan	nan
0	7	429.501288	3.460619	-1.115361	-1.414295	6.239481	24.965549	431.238461	2.542955	4.842632	-1.038970	12.712830	67.671985	5.858272	0.045227	0.850572	32	0.972210	-0.006089	0.445817	a	431.413251	2.400033	0.225784	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.000000	-6.294672	-5.918531	0.320014	0.000000	0.000000	0.000000	-1	15.716072	4.412111	0.214838	2.220157	17.200450	4.146667	-0.024059	2.679942	4.545872	2.412134	0.512784	2.848241	3.302574	1.539359	0.340637	2.366390	2.533716	1.236161	0.402547	2.117047	3.303132	1.554880	0.424140	2.571540	nan	nan	nan	nan	17.305508	4.171995	-0.024059	2.679942	0.005727	0.026791	-0.087423	-0.035525	-0.021857	-0.038040	0.014699	0.017941	0.000307	0.010639	0.022014	0.013589	-0.029538	-0.044297	0.025513	0.077378	nan	nan	nan	nan	-0.013637	-0.025636	0.027282	0.116653	-inf	nan	nan	nan
0	8	559.931490	137.648603	-8.254714	12.470418	51.805595	1721.066241	560.404411	137.385118	7.385187	-11.666432	52.593687	1842.386348	24.650796	0.004514	0.996464	146	0.953181	0.189975	0.487447	m	560.693029	135.888578	1.524117	546.893939	158.196970	24.812618	39.074100	1086.772976	19.201288	0.001592	0.995797	107	0.912164	-0.047253	-7.155138	-0.632425	0.975203	-7.139712	-0.836429	0.970211	15	35.869969	14.559342	-0.491990	2.067446	45.195004	47.010265	2.382930	8.126466	16.240107	8.733677	0.567981	2.929730	11.323632	6.467736	0.396578	2.063090	12.863424	5.837932	-0.398537	1.985880	11.493955	6.345582	0.350362	2.045752	27.744624	9.403400	-0.164557	2.917525	37.375347	38.876530	2.382930	8.126466	-0.125029	-0.008721	0.170196	0.195349	-0.247143	0.159824	0.669183	-0.371602	0.243203	0.132105	-0.667456	-0.236467	-0.234470	0.147403	0.653723	-0.354009	0.004874	-0.183883	-0.023447	0.819556	-0.195877	-0.080727	0.333990	0.551435	-inf	nan	nan	nan
0	9	588.509847	172.234344	-10.500079	4.004003	43.412537	1266.391613	588.457056	172.061487	10.679486	-3.429467	45.473697	1409.558630	21.806893	0.002474	0.997770	126	0.942234	0.138681	0.765642	c	585.233177	173.524604	3.540354	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.000000	-6.741115	-0.608252	0.983859	0.000000	0.000000	0.000000	-1	32.826019	15.377766	0.317509	2.496756	48.283995	61.061039	2.427337	8.003515	13.529750	7.755922	0.628395	2.820240	9.444634	5.697609	0.671330	2.627940	11.442587	4.870360	-0.322302	2.219179	10.429369	5.041153	0.256305	2.281535	nan	nan	nan	nan	42.031477	53.153963	2.427337	8.003515	-0.089013	-0.013350	0.032125	-0.033246	-0.275902	0.041573	0.645253	0.307798	0.205863	0.052932	-0.582537	-0.015406	-0.181182	0.044117	0.506663	-0.022717	nan	nan	nan	nan	-0.228172	-0.061057	0.367241	0.427275	-inf	nan	nan	nan
0	10	525.066229	115.756401	3.369011	3.478946	44.796695	1538.811637	524.894963	114.982013	0.685118	-4.678955	45.778948	1598.861470	22.758570	0.001971	0.992798	139	0.977004	-0.153693	0.716325	m	528.165765	118.262523	4.632483	534.537500	95.425000	21.804937	33.106987	532.497924	13.095930	0.034021	0.952158	89	1.025829	-0.294556	-6.803222	-0.574327	0.983405	-6.583302	-5.995063	0.246222	22	25.128615	10.193118	0.476085	2.619043	43.302230	53.692503	2.947587	11.155254	15.760597	8.952347	0.437334	2.372111	11.214842	6.209569	0.501993	2.361351	9.684517	4.487668	-0.082622	2.230407	12.743253	4.834951	0.106019	2.290156	25.633312	8.334578	-0.490387	3.007583	50.496169	62.612612	2.947587	11.155254	-0.145629	0.036111	0.253677	0.039411	-0.207073	0.048271	0.505794	0.105739	0.096439	-0.041023	-0.369569	-0.033603	-0.080556	-0.030577	0.400525	-0.055634	0.042691	-0.168970	-0.278601	0.875440	-0.168984	0.003214	0.246220	0.072540	-inf	nan	nan	nan
